English Term,English Def.,Arabic Term,Arabic Def.,French Term,French Def.,Refined  English Def.,Refined French Def.
Association for the Advancement of Artificial Intelligence (AAAI),"A non-profit scientific society dedicated to advancing scientific research, public understanding, practitioner training, and responsible use of AI.",جمعية النهوض بالذكاء الاصطناعي,جمعية علمية غير ربحية مُكرَّسة للنهوض بالبحث العلمي، والتثقيف العام، وتدريب الممارسين، والحث على الاستخدام المسؤول للذكاء الاصطناعي.,Association pour l’avancement de l’intelligence artificielle ,"Société scientifique à but non lucratif dédiée à la promotion de la recherche scientifique, à la formation des praticiens, à la diffusion publique des connaissances et à l’utilisation responsable de l’intelligence artificielle.",,
Associative Learning,A rule-based technique in machine learning for discovering significant relationships between features or variables in a dataset.,تعلُّم ترابطي,أسلوب من أساليب تعلُّم الآلة قائم على قواعد لاكتشاف العلاقات المهمة بين الخصائص أو المتغيرات في مجموعة البيانات.,Apprentissage associatif,Technique fondée sur des règles en apprentissage automatique permettant d’identifier des relations significatives entre des caractéristiques ou variables au sein d’un ensemble de données.,,
Attention Mechanism,"See ""Attention Model.""",آلية الانتباه,"انظر ""نموذج الانتباه"".",Mécanisme d’attention,"Voir "" Modèle d’attention "".",,
Attention Model,"A technique in a neural network that allows the network to focus on one aspect of a complex input each time until the whole dataset is categorized. Also called ""Attention Mechanism.""",نموذج الانتباه,"أسلوب في الشبكة العصبية يُتيح للشبكة التركيز على جانب واحد من المُدْخَلات المعقدة في كل مرة حتى تُصنَّف مجموعة البيانات بأكملها. ويُطلق عليه أيضًا ""آلية الانتباه"".",Modèle d’attention,"Technique utilisée dans un réseau neuronal permettant au modèle de se concentrer successivement sur différents éléments d’une entrée complexe jusqu’à ce que l’ensemble du jeu de données soit catégorisé. Également appelée "" mécanisme d’attention "".",,
Attribute,"A property or characteristic of an object that humans or automated methods can identify. Often used as a synonym for ""Feature.""",سمة,"صفة أو ميزة لشيء ما بمقدور البشر أو الطُّرُق المؤتمتة التعرُّف عليها، وغالبًا ما تستخدم كمرادف لكلمة ""خاصية"".",Attribut,"Propriété ou caractéristique d’un objet que des humains ou des méthodes automatisées peuvent identifier. Souvent utilisé comme synonyme de "" caractéristique "".",,
Audio Signal Processing,A subfield of signal processing that focuses on analyzing and manipulating audio signals.,معالجة الإشارات الصوتية,مجال فرعي من معالجة الإشارات يركز على تحليل الإشارات الصوتية ومعالجتها.,Traitement du signal audio,Sous-domaine du traitement du signal consacré à l’analyse et à la manipulation des signaux audio.,,
Auditability,"The ability to review and assess data, processes, and decision-making within an AI system to ensure transparency and accountability.",قابلية التدقيق,القدرة على مراجعة البيانات والعمليات واتخاذ القرارات في نظام الذكاء الاصطناعي وتقييمها؛ لضمان الشفافية والمساءلة.,Auditabilité,"Capacité à examiner et évaluer les données, les processus et la prise de décision au sein d’un système d’intelligence artificielle afin d’assurer la transparence et la responsabilité.",,
Augmented Analytics,The use of AI technologies to automate data analytics processes like data preparation and insight discovery.,تحليلات مُعَزَّزة,استخدام تقنيات الذكاء الاصطناعي لأتمتة عمليات تحليلات البيانات، مثل: إعداد البيانات واكتشاف الرؤى.,Analytique augmentée,"Utilisation des technologies d’intelligence artificielle pour automatiser les processus d’analyse de données, notamment la préparation et la découverte d’insights.",,
Augmented Data Quality,"The use of AI technologies to automate data quality processes and improve data accuracy, consistency, and reliability.",جودة البيانات المُعَزَّزة,استخدام تقنيات الذكاء الاصطناعي لأتمتة عمليات جودة البيانات، وتحسين دقة البيانات واتساقها وموثوقيتها.,Qualité des données augmentée,"Utilisation des technologies d’intelligence artificielle pour automatiser les processus de gestion de la qualité des données et améliorer leur exactitude, leur cohérence et leur fiabilité.",,
Augmented Intelligence,"A design pattern that complements human intelligence and helps humans get smarter and faster in performing tasks. Also called ""Intelligence Augmentation.""",ذكاء مُعزَّز,"نمط تصميمي يُكمِّل الذكاء البشري، ويساعد البشر ليكونوا أذكى وأسرع في أداء المهام. ويُطلق عليه أيضًا ""تعزيز الذكاء"".",Intelligence augmentée,"Un modèle de conception qui complète l’intelligence humaine en l’aidant à devenir plus rapide et plus efficace dans l’exécution de tâches. Également appelée "" augmentation de l’intelligence humaine "".",,
Augmented Research,The application of AI in analyzing data and testing hypotheses to support research in different fields.,بحث مُعزَّز,تطبيق الذكاء الاصطناعي في تحليل البيانات واختبار الفرضيات؛ لدعم البحث في المجالات المختلفة.,Recherche augmentée,Application de l’intelligence artificielle à l’analyse de données et à la vérification d’hypothèses afin de soutenir la recherche dans divers domaines.,,
Auto-Regressive Model,A model that predicts future values based on past values.,نموذج انحدار ذاتي,نموذج يتنبأ بالقيم المستقبلية بناءً على القيم السابقة.,Modèle auto-régressif,Modèle qui prédit les valeurs futures d’une variable à partir de ses valeurs passées.,,
Autoencoder,A type of artificial neural network used to produce efficient data representations for unsupervised learning.,مُرمِّز تلقائي,نوع من الشبكات العصبية الاصطناعية يُستخدم لإنتاج تمثيلات بيانات فاعلة للتعلُّم غير الموجَّه.,Autoencodeur,Type de réseau de neurones artificiels utilisé pour produire des représentations de données efficaces dans le cadre d’un apprentissage non supervisé.,,
