English Term,English Def.,Arabic Term,Arabic Def.
Behavior Informatics (BI),"A field concerned with gathering, analyzing, and interpreting heterogeneous data to represent and model human behavior.",معلوماتية السلوك,مجال يهتم بجمع البيانات غير المتجانسة وتحليلها وتفسيرها؛ لتمثيل السلوك البشري ونمذجته.
Behavior Tree (BT),A method for structuring the switch between various actions in an autonomous agent.,شجرة السلوك,طريقة لهيكلة التبديل بين الأفعال المختلفة في وكيل ذاتي التحكم.
Behavioral Analytics,The process of using data about users' behaviors to understand and predict their intentions and actions.,تحليلات سلوكية,عملية استخدام البيانات المتعلقة بسلوكيات المستخدمين؛ لفهم نواياهم وأفعالهم والتنبؤ بها.
Belief-Desire-Intention Software Model (BDI),A framework for designing and implementing intelligent agents that emulate human reasoning and decision-making.,نموذج برمجي للمعتقدات والرغبات والمقاصد,إطار لتصميم وتنفيذ وكلاء أذكياء يحاكون البشر في الاستدلال واتخاذ القرارات.
Bellman Equation,A recursive formula used in many reinforcement learning algorithms to compute the expected total reward of taking action.,معادلة بلمان,صيغة رياضية تكرارية تُستخدم في عدد من خوارزميات التعلُّم التعزيزي؛ لحساب المكافأة الإجمالية المتوقعة إثر القيام بالفعل.
Bias,A parameter in a neural network that allows neurons to shift the activation functions.,تحيُّز,مُعامِل في الشبكة العصبية يُتيح للخلايا العصبية تحويل دالة التنشيط.
Bias Mitigation Algorithm,An algorithm designed to reduce biases within datasets or AI models.,خوارزمية تخفيف التحيز,خوارزمية مصممة لتقليل التحيزات داخل مجموعات البيانات أو نماذج الذكاء الاصطناعي.
Bias–Variance Tradeoff,"A conflict that arises when trying to minimize bias and variance, keeping supervised algorithms from generalizing beyond their training set.",موازنة التحيُّز-التباين,تعارض ينشأ عند محاولة تقليل التحيُّز والتباين، يمنع الخوارزميات الموجَّهة من التعميم خارج مجموعة التدريب.
Bidirectional Encoder Representations From Transformers (BERT),A deep learning technique based on transformer architecture for natural language processing (NLP).,تمثيلات الترميز الثنائية الاتجاه من المُحوِّلات (بيرت),أسلوب تعلُّم عميق يعتمد على معمارية المُحوِّلات؛ لمعالجة اللغات الطبيعية.
Bidirectional Language Model,A model that defines the probability of a word's presence in a text based on the text that comes before and after it.,نموذج لغوي ثنائي الاتجاه,نموذج يحدد احتمالية وجود كلمة في نص ما بناءً على النص الذي يأتي قبلها وبعدها.
Big Data,"A large dataset that requires scalable technologies for storage, processing, management, and analysis due to its characteristics of volume, variety, velocity, and variability.",بيانات ضخمة,مجموعة بيانات كبيرة تتطلب تقنيات قابلة للتوسع لتخزينها ومعالجتها وإدارتها وتحليلها؛ نظرًا لخصائص حجمها وتنوعها وسرعتها وتباينها.
Big Data Analytics,"The process of examining a large amount of diverse data to discover patterns, correlations, and trends that provide insights and support decision-making.",تحليلات البيانات الضخمة,عملية فحص كمية كبيرة من البيانات المتنوعة؛ لاكتشاف الأنماط والارتباطات والاتجاهات التي تُقدِّم رؤى وتدعم اتخاذ القرار.
Big Data Intelligence,The use of AI technologies to analyze and interpret large complex datasets.,ذكاء البيانات الضخمة,استخدام تقنيات الذكاء الاصطناعي لتحليل مجموعات البيانات الكبيرة المعقدة وتفسيرها.
Big O Notation,"A theoretical measure of the needed algorithm's execution time or memory, given the problem size.",رمز (أُو) الكبرى,مقياس نظري للوقت أو الذاكرة اللازمين لتنفيذ الخوارزمية بالنظر إلى حجم المشكلة.
Bigram,A sequence of two items in a text.,وحدات ثنائية,تسلسل من عنصرين في نص ما.
Bilingual Evaluation Understudy (BLEU),A measure to automatically evaluate the quality of machine-translated text from one language to another.,تقييم ثنائي اللغة,مقياس لتقييم جودة النص المترجم تلقائيًّا من لغة إلى أخرى.
Binary Classification,A type of classification that predicts only one out of two possible classes.,تصنيف ثنائي,نوع من أنواع التصنيف يتنبأ بفئة واحدة فقط من بين صنفين محتملين.
Binary Tree,A tree structure in which each node has at most two children.,شجرة ثنائية,هيكل شجري، كل عقدة فيه تحتوي على عقدتين فرعيتين على الأكثر.
Binning,"See ""Bucketing.""",تجميع صناديق,"انظر ""تجميع وحدات""."
Biometrics,The measurable physical and behavioral characteristics that can be used to identify and authenticate individuals.,قياسات حيوية,الخصائص الجسدية والسلوكية القابلة للقياس التي يمكن استخدامها لتحديد هوية الأفراد والتحقق منها.
